stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
234446,Max-Planck-Straße,8.45699,49.51908,STATION,506442,8456917,49519156,Mannheim,"Friesenheimer Insel Max-Planck-Straße",BUS,10
215705,"Mannheimer Tor",8.378823,49.491123,STATION,508959,8378899,49490984,"Ludwigshafen am Rhein","Oggersheim Mannheimer Tor",TRAM;BUS,16
234445,Max-Planck-Straße,8.45688,49.51921,STATION,506442,8456917,49519156,Mannheim,"Friesenheimer Insel Max-Planck-Straße",BUS,7
238806,Diffenebrücke,8.472348,49.516192,STATION,508049,8472153,49516172,Mannheim,"Luzenberg Diffenébrücke",BUS,14
121602,Odenwaldstr.,8.669412,49.379159,STATION,518228,8669431,49379203,Heidelberg,"Kirchheim Odenwaldstraße",TRAM,5
238805,Diffenebrücke,8.472043,49.516108,STATION,508049,8472153,49516172,Mannheim,"Luzenberg Diffenébrücke",BUS,11
215702,"Mannheimer Tor",8.378778,49.491115,STATION,508959,8378899,49490984,"Ludwigshafen am Rhein","Oggersheim Mannheimer Tor",TRAM;BUS,17
215701,"Mannheimer Tor",8.378972,49.49087,STATION,508959,8378899,49490984,"Ludwigshafen am Rhein","Oggersheim Mannheimer Tor",TRAM;BUS,14
260705,"Warnemünder Weg",8.537156,49.507876,STATION,510203,8537118,49507857,Mannheim,"Vogelstang Warnemünder Weg",BUS,3
121601,Odenwaldstr.,8.669159,49.379042,STATION,518228,8669431,49379203,Heidelberg,"Kirchheim Odenwaldstraße",TRAM,27
246401,Pfeifferswörth,8.501169,49.48952,STATION,518367,8501575,49489438,Mannheim,Pfeifferswörth,TRAM;BUS,31
246402,Pfeifferswörth,8.501694,49.489403,STATION,518366,8501620,49489438,Mannheim,Pfeifferswörth,TRAM;BUS,7
246405,Pfeifferswörth,8.50176,49.489775,STATION,518366,8501620,49489438,Mannheim,Pfeifferswörth,TRAM;BUS,39
225506,Albert-Haueisen-Ring,8.383223,49.503687,STATION,505209,8383223,49503659,"Ludwigshafen am R","Oggersheim Albert-Haueisen-Ring",BUS,3
246406,Pfeifferswörth,8.501881,49.490408,STATION,518366,8501620,49489438,Mannheim,Pfeifferswörth,TRAM;BUS,110
225505,Albert-Haueisen-Ring,8.383246,49.50365,STATION,505209,8383223,49503659,"Ludwigshafen am R","Oggersheim Albert-Haueisen-Ring",BUS,2
246407,Pfeifferswörth,8.502489,49.48956,STATION,518366,8501620,49489438,Mannheim,Pfeifferswörth,TRAM;BUS,64
246408,Pfeifferswörth,8.500935,49.489334,STATION,518367,8501575,49489438,Mannheim,Pfeifferswörth,TRAM;BUS,48
250906,Industriestraße,8.46103,49.50646,STATION,508670,8460467,49506086,Mannheim,Industriestraße,BUS,58
250905,Industriestraße,8.45995,49.50567,STATION,508670,8460467,49506086,Mannheim,Industriestraße,BUS,60
129101,"Wieblingen Nord",8.64194,49.432733,STATION,510536,8642050,49432671,Heidelberg,"Wieblingen Nord",BUS,11
129102,"Wieblingen Nord",8.642051,49.432773,STATION,510536,8642050,49432671,Heidelberg,"Wieblingen Nord",BUS,11
210002,Rohrlachstraße,8.42899,49.483231,STATION,518306,8429823,49483100,"Ludwigshafen am Rhein",Rohrlachstraße,TRAM;BUS;ON_DEMAND,62
210001,Rohrlachstraße,8.429817,49.483105,STATION,518306,8429823,49483100,"Ludwigshafen am Rhein",Rohrlachstraße,TRAM;BUS;ON_DEMAND,1
235306,"Am Kuhbuckel",8.511045,49.525965,STATION,507611,8511068,49525835,Mannheim,"Käfertal Am Kuhbuckel",BUS,15
210008,Rohrlachstraße,8.43188,49.48267,STATION,518308,8430309,49483037,"Ludwigshafen am Rhein",Rohrlachstraße,TRAM;BUS;ON_DEMAND,121
235305,"Am Kuhbuckel",8.511052,49.525863,STATION,507611,8511068,49525835,Mannheim,"Käfertal Am Kuhbuckel",BUS,3
210007,Rohrlachstraße,8.43091,49.483095,STATION,518308,8430309,49483037,"Ludwigshafen am Rhein",Rohrlachstraße,TRAM;BUS;ON_DEMAND,44
210006,Rohrlachstraße,8.43028,49.48278,STATION,518307,8430084,49482822,"Ludwigshafen am Rhein",Rohrlachstraße,TRAM;BUS;ON_DEMAND,15
210005,Rohrlachstraße,8.42989,49.48254,STATION,518307,8430084,49482822,"Ludwigshafen am Rhein",Rohrlachstraße,TRAM;BUS;ON_DEMAND,34
256207,Kirschgartshausen,8.447633,49.581194,STATION,509464,8447927,49581379,Mannheim,Kirschgartshausen,BUS;ON_DEMAND,30
119301,Stadtbücherei,8.68698,49.40626,STATION,510893,8686232,49406108,Heidelberg,Stadtbücherei,TRAM;BUS,57
119304,Stadtbücherei,8.68582,49.406075,STATION,506958,8685611,49405991,Heidelberg,Stadtbücherei,TRAM;BUS,18
119302,Stadtbücherei,8.68601,49.4061,STATION,510891,8686151,49406090,Heidelberg,Stadtbücherei,TRAM;BUS,10
119303,Stadtbücherei,8.686919,49.406286,STATION,510893,8686232,49406108,Heidelberg,Stadtbücherei,TRAM;BUS,54
222005,Philharmonie,8.44259,49.479726,STATION,508198,8442291,49478255,"Ludwigshafen am Rhe","Bürgermeister-Kutterer-Straße",TRAM;BUS,165
